,index,url,book_id,title,award_count,author,avg_rating,num_reviews,num_ratings,num_pages,original_publish_year,series,genres,awards,place,normalise_mean
47,49,https://www.goodreads.com/book/show/12558285-splintered,12558285.0,Splintered,2,A.G. Howard,3.91,55696,55696,371,2013.0,True,"Fantasy, Young Adult, Retellings, Romance, Fantasy, Magic, Fantasy, Fairy Tales, Fantasy, Paranormal, Fiction, Adventure, Young Adult, Young Adult Fantasy","Eliot Rosewater Indiana High School Book Award (2014), Goodreads Choice Award Nominee for  Debut Author (2013)","Pleasance, Texas, The Nether Realm/Wonderland",5.024237161015277
48,50,https://www.goodreads.com/book/show/31244.Our_Mutual_Friend,31244.0,Our Mutual Friend,0,Charles Dickens,4.08,26608,26608,801,1865.0,False,"Classics, Fiction, Literature, Historical, Victorian, Literature, 19th Century, European Literature, British Literature, Historical, Historical Fiction, Classics, Classic Literature, Novels, Audiobook",nan,nan,5.520990407768523
49,51,https://www.goodreads.com/book/show/16033842-la-v-rit-sur-l-affaire-harry-quebert,16033842.0,La Vérité sur l'affaire Harry Quebert,5,Joël Dicker,4.09,102656,102656,672,2012.0,True,"Fiction, Mystery, Thriller, Mystery, Crime, Cultural, France, Thriller, Mystery Thriller, Contemporary, Suspense, Roman, Novels","Prix Goncourt des Lycéens (2012), Grand Prix du Roman de l'Académie française (2012), Prix des libraires du Québec Nominee for Lauréats hors Québec (2013), 本屋大賞 Nominee for Translated Fiction (2015), Prix des prix littéraires Nominee (2012)","Aurora, New Hampshire, New Hampshire",5.550211186989302
50,52,https://www.goodreads.com/book/show/12177850-a-song-of-ice-and-fire,12177850.0,A Song of Ice and Fire,0,George R.R. Martin,4.55,55482,55482,5216,2000.0,True,"Fantasy, Fiction, Science Fiction Fantasy, Adventure, Novels, Fantasy, Dragons, Science Fiction, Fantasy, Epic Fantasy, Epic, Fantasy, High Fantasy",nan,nan,6.894367031145146
51,53,https://www.goodreads.com/book/show/13644055-opposition,13644055.0,Opposition,1,Jennifer L. Armentrout,4.37,69546,69546,533,2014.0,True,"Young Adult, Fantasy, Paranormal, Romance, Fantasy, Science Fiction, Aliens, Science Fiction, Romance, Paranormal Romance, Fantasy, Supernatural, Fantasy, Urban Fantasy, New Adult",Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2014),"Coeur d'Alene, Idaho, West Virginia",6.3683930051711215
52,55,https://www.goodreads.com/book/show/139253.The_House_on_Mango_Street,139253.0,The House on Mango Street,2,Sandra Cisneros,3.67,135383,135383,110,1984.0,False,"Fiction, Young Adult, Classics, Short Stories, Academic, School, Young Adult, Coming Of Age, Academic, Read For School, Contemporary, Realistic Fiction, Poetry","American Book Award (1985), George C. Stone Center for Children's Books Recognition of Merit Award (1994)","Chicago, Illinois",4.322938459716575
53,56,https://www.goodreads.com/book/show/26004546-lips-of-a-mastodon,26004546.0,Lips of a Mastodon,0,Ted Bernal Guevara,3.5,3770,3770,226,2015.0,False,"Drama, Mystery, Fiction, Mystery, Crime, Thriller, Suspense, Thriller, Psychological Thriller, Adult Fiction, Novels, Adventure",nan,nan,3.8261852129633276
54,57,https://www.goodreads.com/book/show/33385229-they-both-die-at-the-end,33385229.0,They Both Die at the End,2,Adam Silvera,4.13,141472,141472,389,2017.0,False,"Young Adult, Contemporary, LGBT, Fiction, Romance, Audiobook, GLBT, Queer, Science Fiction, Fantasy, Young Adult, Young Adult Contemporary","Lincoln Award (2020), Goodreads Choice Award Nominee for Young Adult Fiction (2017)","New York City, New York",5.667094303872419
55,58,https://www.goodreads.com/book/show/92364.Eye_of_the_Needle,92364.0,Eye of the Needle,1,Ken Follett,4.19,134257,134257,339,1978.0,False,"Fiction, Thriller, Historical, Historical Fiction, Mystery, Suspense, Spy Thriller, Espionage, Mystery, Crime, Drama, War, Thriller, Mystery Thriller",Edgar Award for Best Novel (1979),United Kingdom,5.842418979197096
56,59,https://www.goodreads.com/book/show/161744.Common_Sense,161744.0,Common Sense,0,Thomas Paine,3.99,31149,31149,104,1776.0,False,"History, Nonfiction, Classics, Philosophy, Politics, North American Hi..., American History, Historical, Writing, Essays, Politics, Political Science, Military History, American Revolution",nan,United States of America,5.258003394781511
57,60,https://www.goodreads.com/book/show/455373.Sphere,455373.0,Sphere,0,Michael Crichton,3.81,172266,172266,371,1987.0,False,"Science Fiction, Fiction, Thriller, Horror, Suspense, Science Fiction Fantasy, Mystery, Novels, Adventure, Fantasy",nan,nan,4.732029368807484
58,61,https://www.goodreads.com/book/show/42849823-brownout---666,42849823.0,Brownout - 666: or the Real Meaning of the Swastika,0,John Richard Spencer,4.38,2062,2062,605,2012.0,False,"Contemporary, Novels, Fiction, Drama, Book Club, Epic, Adult, Mystery, Crime",nan,nan,6.3976137843919
59,62,https://www.goodreads.com/book/show/21969786-more-than-this,21969786.0,More Than This,3,Patrick Ness,3.96,53722,53722,480,2013.0,False,"Young Adult, Science Fiction, LGBT, Fiction, Science Fiction, Dystopia, Fantasy, Mystery, Contemporary, GLBT, Queer, Young Adult, Teen","Milwaukee County Teen Book Award Nominee (2015), The Kitschies Nominee for Red Tentacle (Novel) (2013), Carnegie Medal Nominee (2015)",nan,5.170341057119172
60,63,https://www.goodreads.com/book/show/16069030-the-winner-s-curse,16069030.0,The Winner's Curse,1,Marie Rutkoski,3.96,101962,101962,355,2014.0,True,"Fantasy, Young Adult, Romance, Science Fiction, Dystopia, Young Adult, Young Adult Fantasy, Fiction, Fantasy, High Fantasy, Historical, Historical Fiction, Historical, War",Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2014),nan,5.170341057119172
61,64,https://www.goodreads.com/book/show/29580.Second_Foundation,29580.0,Second Foundation,1,Isaac Asimov,4.25,152136,152136,256,1953.0,True,"Science Fiction, Fiction, Classics, Science Fiction Fantasy, Space, Space Opera, Fantasy, Novels, Space, Speculative Fiction, Audiobook","Retro Hugo Award Nominee for Best Novella for ""...And Now You Don't"" (2001)",nan,6.0177436545217695
62,65,https://www.goodreads.com/book/show/1170158.The_Earthsea_Trilogy,1170158.0,The Earthsea Trilogy,0,Ursula K. Le Guin,4.27,18751,18751,478,1972.0,True,"Fantasy, Fiction, Young Adult, Science Fiction, Science Fiction Fantasy, Classics, Fantasy, Epic Fantasy, Fantasy, Magic, Fantasy, Dragons, Speculative Fiction",nan,nan,6.076185212963328
63,66,https://www.goodreads.com/book/show/5349.The_Rainmaker,5349.0,The Rainmaker,0,John Grisham,3.95,179966,179966,419,1995.0,False,"Fiction, Thriller, Mystery, Thriller, Legal Thriller, Mystery, Crime, Suspense, Thriller, Mystery Thriller, Law, Novels, Drama",nan,"Memphis, Tennessee",5.141120277898394
64,67,https://www.goodreads.com/book/show/1869.Nickel_and_Dimed,1869.0,Nickel and Dimed: On (Not) Getting by in America,2,Barbara Ehrenreich,3.63,182672,182672,240,2001.0,False,"Nonfiction, Sociology, Politics, Economics, Autobiography, Memoir, Social Movements, Social Justice, Social Issues, Poverty, Academic, School, Social Issues, Adult","Los Angeles Times Book Prize for Current Interest (2001), ALA Alex Award (2002)",nan,4.206055342833458
65,68,https://www.goodreads.com/book/show/9761778-deity,9761778.0,Deity,0,Jennifer L. Armentrout,4.35,55961,55961,330,2012.0,True,"Fantasy, Young Adult, Fantasy, Paranormal, Fantasy, Mythology, Romance, Romance, Paranormal Romance, Mythology, Greek Mythology, Fantasy, Urban Fantasy, Fantasy, Supernatural, Fantasy, Magic",nan,nan,6.309951446729562
