url,book_id,title,author,good_read_score,good_read_votes,avg_rating,num_reviews,num_ratings,num_pages,original_publish_year,book_series,genres,awards,award_count,place
https://www.goodreads.com/book/show/28187.The_Lightning_Thief,28187,The Lightning Thief,Rick Riordan,646027,6875,4.26,64891,2126906,377,2005,TRUE,"Fantasy, Young Adult, Fantasy, Mythology, Fiction, Childrens, Middle Grade, Adventure, Childrens, Fantasy, Urban Fantasy, Mythology, Greek Mythology, Fantasy, Magic","Young Readers' Choice Award (2008), Books I Loved Best Yearly (BILBY) Awards for Older Readers (2011), South Carolina Book Award for Junior Book Award (2008), Grand Canyon Reader Award for Tween Book (2008), Nene Award (2008), Massachusetts Children's Book Award (2008), Pennsylvania Young Readers' Choice Award for Grades 6-8 (2008), Rhode Island Teen Book Award Nominee (2007), Sunshine State Young Readers Award for Grades 6-8 (2007), Pacific Northwest Library Association Young Reader's Choice Award for Intermediate (2008), Iowa Teen Award (2009), Lincoln Award Nominee (2009), Oklahoma Sequoyah Award for YA (2008), Rebecca Caudill Young Readers' Book Award (2009)",14,"New York City, New York, Montauk, New York, New Jersey, St. Louis, Missouri, Las Vegas, Nevada, Long Island, New York"
https://www.goodreads.com/book/show/320.One_Hundred_Years_of_Solitude,320,One Hundred Years of Solitude,Gabriel García Márquez,633827,6673,4.09,32637,788060,417,1967,FALSE,"Fiction, Classics, Magical Realism, Literature, Novels, Fantasy, Historical, Historical Fiction, European Literature, Spanish Literature, Literary Fiction, Cultural, Latin American","Premio Internacional de Novela Rómulo Gallegos (1972), Prix du Meilleur Livre Étranger for Roman (1969)",2,Macondo
https://www.goodreads.com/book/show/5107.The_Catcher_in_the_Rye,5107,The Catcher in the Rye,J.D. Salinger,622449,6731,3.81,60357,2858207,277,1951,FALSE,"Classics, Fiction, Young Adult, Literature, Academic, School, Novels, Young Adult, Coming Of Age, Young Adult, High School, Literature, American, Academic, Read For School","Teen Read Award Nominee for Best All-Time-Fave (2010), National Book Award Finalist for Fiction (1952)",2,"New York City, New York, Agerstown, Pennsylvania"
https://www.goodreads.com/book/show/21787.The_Princess_Bride,21787,The Princess Bride,William Goldman,614712,6550,4.25,21074,806197,456,1973,FALSE,"Fantasy, Fiction, Classics, Romance, Humor, Young Adult, Adventure, Science Fiction Fantasy, Humor, Comedy, Fantasy, Fairy Tales",,0,
https://www.goodreads.com/book/show/2998.The_Secret_Garden,2998,The Secret Garden,Frances Hodgson Burnett,599297,6590,4.13,20240,942734,331,1910,FALSE,"Classics, Fiction, Childrens, Young Adult, Historical, Historical Fiction, Childrens, Middle Grade, Fantasy, Literature, Historical, Audiobook",Lewis Carroll Shelf Award (1958),1,"Yorkshire, England, England, United Kingdom"
https://www.goodreads.com/book/show/128029.A_Thousand_Splendid_Suns,128029,A Thousand Splendid Suns,Khaled Hosseini,595905,6322,4.38,56681,1208769,372,2007,FALSE,"Fiction, Historical, Historical Fiction, Contemporary, Novels, Historical, War, Adult, Adult Fiction, Drama, Literature","British Book Award for Best Read of the Year (2008), Book Sense Book of the Year Award for Adult Fiction (2008), California Book Award for Fiction (Silver) (2007), Exclusive Books Boeke Prize Nominee (2007), Lincoln Award Nominee (2011)",5,"Afghanistan, Kabul, Herat"
https://www.goodreads.com/book/show/13496.A_Game_of_Thrones,13496,A Game of Thrones,George R.R. Martin,575556,6147,4.44,55517,2085276,835,1996,TRUE,"Fantasy, Fiction, Fantasy, Epic Fantasy, Adult, Science Fiction Fantasy, Fantasy, High Fantasy, Adventure, Audiobook, Fantasy, Dragons, Epic","Nebula Award Nominee for Best Novel (1997), Locus Award for Best Fantasy Novel (1997), World Fantasy Award Nominee for Best Novel (1997), Premio Ignotus for Novela extranjera (2003)",4,The Lands of Ice and Fire
https://www.goodreads.com/book/show/33574273-a-wrinkle-in-time,33574273,A Wrinkle in Time,Madeleine L'Engle,572629,6119,3.99,34709,1081378,218,1962,TRUE,"Fantasy, Fiction, Classics, Young Adult, Science Fiction, Childrens, Childrens, Middle Grade, Science Fiction, Time Travel, Adventure, Science Fiction Fantasy","Newbery Medal (1963), Dorothy Canfield Fisher Children's Book Award Nominee (1964), Oklahoma Sequoyah Award (1965), Margaret A. Edwards Award (1998)",4,Connecticut
https://www.goodreads.com/book/show/231804.The_Outsiders,231804,The Outsiders,S.E. Hinton,528848,5717,4.1,34879,991824,192,1967,FALSE,"Classics, Young Adult, Fiction, Academic, School, Academic, Read For School, Realistic Fiction, Young Adult, Coming Of Age, Historical, Historical Fiction, Contemporary, Young Adult, Teen","Books I Loved Best Yearly (BILBY) Awards for Secondary  (1991), Margaret A. Edwards Award (1988)",2,"Tulsa, Oklahoma"
https://www.goodreads.com/book/show/2956.The_Adventures_of_Huckleberry_Finn,2956,The Adventures of Huckleberry Finn,Mark Twain,523736,5765,3.82,16156,1175536,327,1884,TRUE,"Classics, Fiction, Historical, Historical Fiction, Literature, Young Adult, Adventure, Academic, School, Novels, Academic, Read For School, Literature, American",,0,"United States of America, St. Petersburg, Missouri, Hannibal, Missouri, Missouri, Mississippi River"
